visitorid,ses_rec,ses_rec_avg,user_rec,ses_n,ses_n_r,int_n,int_n_r,tran_n,tran_n_r,rev_sum,rev_sum_r,major_spend_r,int_cat_n_avg,int_itm_n_avg,ses_mo_avg,ses_ho_avg,ses_wknd_r,ses_len_avg,time_to_int,time_to_tran,target
648,43.0,43.0,43.0,1.0,0.023255813953488372,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,20.0,1.0,0.0,0.0,-1.0,1.0
1715,19.0,19.0,19.0,1.0,0.05263157894736842,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,19.0,0.0,0.0,0.0,-1.0,1.0
2004,90.0,90.0,90.0,1.0,0.011111111111111112,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,23.0,0.0,0.0,0.0,-1.0,0.0
2656,11.0,6.0,17.0,2.0,0.11764705882352941,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5,13.5,0.0,0.0,0.0,-1.0,1.0
2754,83.0,83.0,83.0,1.0,0.012048192771084338,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,14.0,0.0,0.0,0.0,-1.0,1.0
3404,18.0,18.0,18.0,1.0,0.05555555555555555,2.0,2.0,1.0,1.0,41400.0,41400.0,0.0,1.0,1.0,7.0,19.0,0.0,3.0833333333333335,1.5416666666666667,0.0,1.0
4270,25.0,25.0,25.0,1.0,0.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,-1.0,1.0
4284,16.0,16.0,16.0,1.0,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,17.0,1.0,0.0,0.0,-1.0,1.0
4694,62.0,62.0,62.0,1.0,0.016129032258064516,4.0,4.0,2.0,2.0,33240.0,33240.0,0.0,1.0,2.0,6.0,21.0,0.0,14.916666666666666,3.7291666666666665,0.0,1.0
5042,36.0,0.0,36.0,2.0,0.05555555555555555,6.0,3.0,3.0,1.5,143160.0,71580.0,0.5,1.0,1.0,7.0,9.5,1.0,13.158333333333333,4.386111111111111,0.0,1.0
5427,96.0,96.0,96.0,1.0,0.010416666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,-1.0,1.0
5537,15.0,15.0,15.0,1.0,0.06666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,7.0,1.0,0.0,0.0,-1.0,1.0
5703,21.0,0.0,21.0,2.0,0.09523809523809523,4.0,2.0,2.0,1.0,47520.0,23760.0,0.5,2.0,2.0,7.0,12.0,0.0,3.433333333333333,1.7166666666666666,0.0,1.0
5977,62.0,62.0,62.0,1.0,0.016129032258064516,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,13.0,0.0,0.0,0.0,-1.0,1.0
6855,20.0,20.0,20.0,1.0,0.05,2.0,2.0,1.0,1.0,43080.0,43080.0,0.0,1.0,1.0,7.0,11.0,0.0,3.8833333333333333,1.9416666666666667,0.0,1.0
8359,79.0,79.0,79.0,1.0,0.012658227848101266,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,12.0,1.0,0.0,0.0,-1.0,1.0
8914,97.0,97.0,97.0,1.0,0.010309278350515464,2.0,2.0,1.0,1.0,29400.0,29400.0,0.0,1.0,1.0,5.0,10.0,0.0,3.3666666666666667,1.6833333333333333,0.0,1.0
10670,16.0,16.0,16.0,1.0,0.0625,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,20.0,0.0,0.0,0.0,-1.0,1.0
10857,96.0,96.0,96.0,1.0,0.010416666666666666,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,15.0,0.0,12.15,6.075,-1.0,1.0
10871,81.0,81.0,81.0,1.0,0.012345679012345678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,12.0,0.0,0.0,0.0,-1.0,1.0
11333,45.0,6.0,70.0,5.0,0.07142857142857142,5.0,1.0,2.0,0.4,50640.0,10128.0,0.0,1.0,1.0,6.4,17.0,0.0,0.0,0.0,0.0,1.0
11508,59.0,0.0,59.0,2.0,0.03389830508474576,2.0,1.0,1.0,0.5,91800.0,45900.0,0.5,1.0,1.0,6.0,10.5,0.0,0.0,0.0,0.0,1.0
12416,52.0,52.0,52.0,1.0,0.019230769230769232,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,-1.0,1.0
12446,87.0,87.0,87.0,1.0,0.011494252873563218,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,16.0,0.0,0.0,0.0,-1.0,1.0
12638,7.0,7.0,7.0,1.0,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,-1.0,1.0
12722,95.0,95.0,95.0,1.0,0.010526315789473684,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,-1.0,1.0
12809,59.0,59.0,59.0,1.0,0.01694915254237288,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,21.0,0.0,0.8166666666666667,0.4083333333333333,-1.0,1.0
13123,4.0,4.0,4.0,1.0,0.25,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,23.0,0.0,11.666666666666666,5.833333333333333,-1.0,1.0
13151,56.0,0.0,56.0,2.0,0.03571428571428571,6.0,3.0,3.0,1.5,63000.0,31500.0,0.5,3.0,3.0,6.0,16.5,0.0,7.325,2.441666666666667,0.0,1.0
13764,79.0,79.0,79.0,1.0,0.012658227848101266,2.0,2.0,1.0,1.0,51000.0,51000.0,1.0,1.0,1.0,5.0,16.0,1.0,2.0166666666666666,1.0083333333333333,0.0,1.0
13787,24.0,24.0,24.0,1.0,0.041666666666666664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,0.0,0.0,0.0,-1.0,1.0
14198,38.0,38.0,38.0,1.0,0.02631578947368421,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,23.0,0.0,0.0,0.0,-1.0,1.0
